,LOGRADOURO,BAIRRO,CIDADE/ESTADO,BAIRRO.1,CEP
659,Rua 23  (Cj Prefeito José Walter),Prefeito José Walter,"Fortaleza, CE","Prefeito José Walter, Fortaleza, CE",60750-370
660,Rua 23,Cidade dos Funcionários,"Fortaleza, CE","Cidade dos Funcionários, Fortaleza, CE",60823-520
661,Rua 23  (Cj Beira Rio),Vila Velha,"Fortaleza, CE","Vila Velha, Fortaleza, CE",60348-250
662,Rua 23  (Cj dos Bancários),Vila Velha,"Fortaleza, CE","Vila Velha, Fortaleza, CE",60348-440
663,Rua 23  (Cj João Paulo II),Barroso,"Fortaleza, CE","Barroso, Fortaleza, CE",60863-420
664,Rua 23  (Cj Nova Assunção),Vila Velha,"Fortaleza, CE","Vila Velha, Fortaleza, CE",60348-090
665,Rua 23  (Cj Polar),Vila Velha,"Fortaleza, CE","Vila Velha, Fortaleza, CE",60347-690
666,Rua 230,Conjunto Ceará I,"Fortaleza, CE","Conjunto Ceará I, Fortaleza, CE",60530-470
667,Rua 232,Conjunto Ceará I,"Fortaleza, CE","Conjunto Ceará I, Fortaleza, CE",60530-480
668,Rua 234,Conjunto Ceará I,"Fortaleza, CE","Conjunto Ceará I, Fortaleza, CE",60530-490
669,Rua 236 do Conjunto Ceará I,Conjunto Ceará I,"Fortaleza, CE","Conjunto Ceará I, Fortaleza, CE",60531-515
670,Rua 24  (Cidade Jardim Fortaleza),Prefeito José Walter,"Fortaleza, CE","Prefeito José Walter, Fortaleza, CE",60748-453
671,Rua 24  (Cj Prefeito José Walter),Prefeito José Walter,"Fortaleza, CE","Prefeito José Walter, Fortaleza, CE",60750-380
672,Rua 24,Cidade dos Funcionários,"Fortaleza, CE","Cidade dos Funcionários, Fortaleza, CE",60823-560
673,Rua 24  (Cj Beira Rio),Vila Velha,"Fortaleza, CE","Vila Velha, Fortaleza, CE",60348-220
674,Rua 24  (Cj dos Bancários),Vila Velha,"Fortaleza, CE","Vila Velha, Fortaleza, CE",60348-450
675,Rua 24  (Cj João Paulo II),Barroso,"Fortaleza, CE","Barroso, Fortaleza, CE",60863-430
676,Travessa 24 de Março,Dias Macedo,"Fortaleza, CE","Dias Macedo, Fortaleza, CE",60860-528
677,Rua 24 de Outubro,Genibaú,"Fortaleza, CE","Genibaú, Fortaleza, CE",60534-130
678,Rua 25  (Cj Prefeito José Walter),Prefeito José Walter,"Fortaleza, CE","Prefeito José Walter, Fortaleza, CE",60750-390
679,Rua 25,Cidade dos Funcionários,"Fortaleza, CE","Cidade dos Funcionários, Fortaleza, CE",60823-570
680,Rua 25  (Cj Nova Assunção),Vila Velha,"Fortaleza, CE","Vila Velha, Fortaleza, CE",60348-070
681,Rua 25  (Cidade Jardim Fortaleza),Prefeito José Walter,"Fortaleza, CE","Prefeito José Walter, Fortaleza, CE",60748-454
682,Travessa 25 de Março,Dias Macedo,"Fortaleza, CE","Dias Macedo, Fortaleza, CE",60860-558
683,Rua 26  (Cj Prefeito José Walter),Prefeito José Walter,"Fortaleza, CE","Prefeito José Walter, Fortaleza, CE",60750-400
684,Rua 26,Cidade dos Funcionários,"Fortaleza, CE","Cidade dos Funcionários, Fortaleza, CE",60823-580
685,Rua 26  (Cj Beira Rio),Vila Velha,"Fortaleza, CE","Vila Velha, Fortaleza, CE",60348-230
686,Rua 26  (Cj dos Bancários),Vila Velha,"Fortaleza, CE","Vila Velha, Fortaleza, CE",60348-420
687,Rua 26  (Cj João Paulo II),Barroso,"Fortaleza, CE","Barroso, Fortaleza, CE",60863-650
688,Rua 26  (Cidade Jardim Fortaleza),Prefeito José Walter,"Fortaleza, CE","Prefeito José Walter, Fortaleza, CE",60748-455
689,Travessa 26 de Março,Dias Macedo,"Fortaleza, CE","Dias Macedo, Fortaleza, CE",60860-568
690,Rua 27,Cidade dos Funcionários,"Fortaleza, CE","Cidade dos Funcionários, Fortaleza, CE",60823-590
691,Rua 27  (Cj Prefeito José Walter),Prefeito José Walter,"Fortaleza, CE","Prefeito José Walter, Fortaleza, CE",60750-410
692,Rua 27  (Cj Beira Rio),Vila Velha,"Fortaleza, CE","Vila Velha, Fortaleza, CE",60348-240
693,Rua 27  (Cj dos Bancários),Vila Velha,"Fortaleza, CE","Vila Velha, Fortaleza, CE",60348-430
694,Rua 27  (Cj Nova Assunção),Vila Velha,"Fortaleza, CE","Vila Velha, Fortaleza, CE",60348-080
695,Rua 27  (Cj Polar),Vila Velha,"Fortaleza, CE","Vila Velha, Fortaleza, CE",60347-680
696,Rua 27  (Cidade Jardim Fortaleza),Prefeito José Walter,"Fortaleza, CE","Prefeito José Walter, Fortaleza, CE",60748-456
697,Travessa 27 de Março,Dias Macedo,"Fortaleza, CE","Dias Macedo, Fortaleza, CE",60860-538
698,Rua 28  (Cidade Jardim Fortaleza),Prefeito José Walter,"Fortaleza, CE","Prefeito José Walter, Fortaleza, CE",60748-457
699,Rua 28  (Cj Prefeito José Walter),Prefeito José Walter,"Fortaleza, CE","Prefeito José Walter, Fortaleza, CE",60750-420
700,Rua 28  (Cj dos Bancários),Vila Velha,"Fortaleza, CE","Vila Velha, Fortaleza, CE",60348-650
701,Rua 29  (Cj Beira Rio),Vila Velha,"Fortaleza, CE","Vila Velha, Fortaleza, CE",60348-210
702,Rua 29  (Cj Prefeito José Walter),Prefeito José Walter,"Fortaleza, CE","Prefeito José Walter, Fortaleza, CE",60750-430
703,Rua 29  (Cj Polar),Vila Velha,"Fortaleza, CE","Vila Velha, Fortaleza, CE",60347-670
704,Rua 29  (Cidade Jardim Fortaleza),Prefeito José Walter,"Fortaleza, CE","Prefeito José Walter, Fortaleza, CE",60748-458
705,Travessa 29 de Março,Dias Macedo,"Fortaleza, CE","Dias Macedo, Fortaleza, CE",60860-572
706,Rua 2A Condomínio 15 Bloco 1  (Cidade Jardim Fortaleza),Prefeito José Walter,"Fortaleza, CE","Prefeito José Walter, Fortaleza, CE",60748-571
707,Rua 2A Condomínio 15 Bloco 2  (Cidade Jardim Fortaleza),Prefeito José Walter,"Fortaleza, CE","Prefeito José Walter, Fortaleza, CE",60748-572
708,Rua 2A Condomínio 15 Bloco 3  (Cidade Jardim Fortaleza),Prefeito José Walter,"Fortaleza, CE","Prefeito José Walter, Fortaleza, CE",60748-573
709,Rua 2A Condomínio 15 Bloco 4  (Cidade Jardim Fortaleza),Prefeito José Walter,"Fortaleza, CE","Prefeito José Walter, Fortaleza, CE",60748-574
710,Rua 2A Condomínio 15 Bloco 5  (Cidade Jardim Fortaleza),Prefeito José Walter,"Fortaleza, CE","Prefeito José Walter, Fortaleza, CE",60748-575
711,Rua 2A Condomínio 15 Bloco 6  (Cidade Jardim Fortaleza),Prefeito José Walter,"Fortaleza, CE","Prefeito José Walter, Fortaleza, CE",60748-576
712,Rua 2A Condomínio 15 Bloco 7  (Cidade Jardim Fortaleza),Prefeito José Walter,"Fortaleza, CE","Prefeito José Walter, Fortaleza, CE",60748-577
713,Rua 2A Condomínio 15 Bloco 8  (Cidade Jardim Fortaleza),Prefeito José Walter,"Fortaleza, CE","Prefeito José Walter, Fortaleza, CE",60748-578
714,Rua 2A  (Lot Gleba),Manuel Dias Branco,"Fortaleza, CE","Manuel Dias Branco, Fortaleza, CE",60191-550
715,Rua 2A,Aracapé,"Fortaleza, CE","Aracapé, Fortaleza, CE",60764-660
716,Largo 3  (Cj Gov Tasso Jereissati),Jardim das Oliveiras,"Fortaleza, CE","Jardim das Oliveiras, Fortaleza, CE",60820-710
717,Rua 3  (Cj Tupinambá da Frota),Antônio Bezerra,"Fortaleza, CE","Antônio Bezerra, Fortaleza, CE",60361-280
718,Rua 3  (Cj Alto Alegre),São Bento,"Fortaleza, CE","São Bento, Fortaleza, CE",60875-370
719,Rua 3  (Lot Arvoredo R Center),Engenheiro Luciano Cavalcante,"Fortaleza, CE","Engenheiro Luciano Cavalcante, Fortaleza, CE",60813-230
720,Rua 3  (Cj Arvoredo),Mondubim,"Fortaleza, CE","Mondubim, Fortaleza, CE",60752-330
721,Rua 3  (Cj Cristo Redentor),Cristo Redentor,"Fortaleza, CE","Cristo Redentor, Fortaleza, CE",60337-680
722,Rua 3  (Cj Caça e Pesca),Praia do Futuro I,"Fortaleza, CE","Praia do Futuro I, Fortaleza, CE",60183-670
723,Rua 3  (Cj Campos dos Ingleses),Jardim Cearense,"Fortaleza, CE","Jardim Cearense, Fortaleza, CE",60712-268
724,Rua 3  (Cj Coração de Jesus),Canindezinho,"Fortaleza, CE","Canindezinho, Fortaleza, CE",60731-180
725,Rua 3  (Cj Estrada do Urucutuba),Bom Jardim,"Fortaleza, CE","Bom Jardim, Fortaleza, CE",60546-240
726,Rua 3  (Lot Gleba),Manuel Dias Branco,"Fortaleza, CE","Manuel Dias Branco, Fortaleza, CE",60191-350
727,Rua 3  (Cj Gov Tasso Jereissati),Jardim das Oliveiras,"Fortaleza, CE","Jardim das Oliveiras, Fortaleza, CE",60820-600
728,Rua 3  (Cj Hermes Pereira/Barra Mar),Barra do Ceará,"Fortaleza, CE","Barra do Ceará, Fortaleza, CE",60330-085
729,Rua 3  (Cj Jardim Castelão),Passaré,"Fortaleza, CE","Passaré, Fortaleza, CE",60862-140
730,Rua 3  (Cj Jardim das Flores),Canindezinho,"Fortaleza, CE","Canindezinho, Fortaleza, CE",60731-230
731,Rua 3  (Cj Jardim Oeste),Quintino Cunha,"Fortaleza, CE","Quintino Cunha, Fortaleza, CE",60352-820
732,Rua 3  (Cj João Paulo II),Barroso,"Fortaleza, CE","Barroso, Fortaleza, CE",60863-840
733,Rua 3  (Cj Mirassol),Itaperi,"Fortaleza, CE","Itaperi, Fortaleza, CE",60743-230
734,Rua 3  (Cj Res Morada da Lagoa),Messejana,"Fortaleza, CE","Messejana, Fortaleza, CE",60840-190
735,Rua 3  (Res Napolião Viana),Dias Macedo,"Fortaleza, CE","Dias Macedo, Fortaleza, CE",60860-490
736,Rua 3  (Lot Nova Fortaleza),Jangurussu,"Fortaleza, CE","Jangurussu, Fortaleza, CE",60868-765
737,Rua 3  (Cj Prefeito José Walter),Prefeito José Walter,"Fortaleza, CE","Prefeito José Walter, Fortaleza, CE",60750-170
738,Rua 3  (Pantanal Vila União),Aeroporto,"Fortaleza, CE","Aeroporto, Fortaleza, CE",60422-746
739,Rua 3  (Lot Paraíso),Planalto Ayrton Senna,"Fortaleza, CE","Planalto Ayrton Senna, Fortaleza, CE",60766-570
740,Rua 3  (Cj Parque Boatã),Quintino Cunha,"Fortaleza, CE","Quintino Cunha, Fortaleza, CE",60352-120
741,Rua 3  (Lot Pq Itaigara),Siqueira,"Fortaleza, CE","Siqueira, Fortaleza, CE",60732-413
742,Rua 3  (Cj Pequeno Mondubim),Mondubim,"Fortaleza, CE","Mondubim, Fortaleza, CE",60762-665
743,Rua 3  (Cj Polar),Vila Velha,"Fortaleza, CE","Vila Velha, Fortaleza, CE",60347-600
744,Rua 3  (Lot Prq Santana I),Mondubim,"Fortaleza, CE","Mondubim, Fortaleza, CE",60767-630
745,Rua 3  (Cj Res Boa Vista),Autran Nunes,"Fortaleza, CE","Autran Nunes, Fortaleza, CE",60527-410
746,Rua 3  (Cj Res Estrela da Manhã),Messejana,"Fortaleza, CE","Messejana, Fortaleza, CE",60841-480
747,Rua 3  (Res Nova Assunção),Barroso,"Fortaleza, CE","Barroso, Fortaleza, CE",60863-085
748,Rua 3  (Cj Res Novo Renascer),Dias Macedo,"Fortaleza, CE","Dias Macedo, Fortaleza, CE",60860-435
749,Rua 3  (Lot Res Vila Verde),Canindezinho,"Fortaleza, CE","Canindezinho, Fortaleza, CE",60731-483
750,Rua 3  (Cj Res Passaré),Passaré,"Fortaleza, CE","Passaré, Fortaleza, CE",60744-310
751,Rua 3  (Lot Santa Terezinha),Novo Mondubim,"Fortaleza, CE","Novo Mondubim, Fortaleza, CE",60763-773
752,Rua 3  (Lot Sincol),Presidente Kennedy,"Fortaleza, CE","Presidente Kennedy, Fortaleza, CE",60355-644
753,Rua 3  (Cj Siqueira),Canindezinho,"Fortaleza, CE","Canindezinho, Fortaleza, CE",60731-140
754,Rua 3  (Cj Sítio Aratanha),Barra do Ceará,"Fortaleza, CE","Barra do Ceará, Fortaleza, CE",60333-380
755,Rua 3  (Cj Sítio do Córrego),Mondubim,"Fortaleza, CE","Mondubim, Fortaleza, CE",60752-040
756,Rua 3  (Lot Sumaré II),Itaperi,"Fortaleza, CE","Itaperi, Fortaleza, CE",60744-370
757,Rua 3  (Cj Veneza Tropical),Itaperi,"Fortaleza, CE","Itaperi, Fortaleza, CE",60743-030
758,Rua 3  (Cj Padre Santana),Barra do Ceará,"Fortaleza, CE","Barra do Ceará, Fortaleza, CE",60330-783
759,Rua 3  (Cj Antônio Correia),Barroso,"Fortaleza, CE","Barroso, Fortaleza, CE",60863-445
760,Rua 3  (Cj Riacho Doce),Passaré,"Fortaleza, CE","Passaré, Fortaleza, CE",60745-030
761,Rua 3  (Cj Campo Ouro Preto),Bom Jardim,"Fortaleza, CE","Bom Jardim, Fortaleza, CE",60545-013
762,Rua 3  (Cj Planalto Itaperi),Parque Dois Irmãos,"Fortaleza, CE","Parque Dois Irmãos, Fortaleza, CE",60761-270
763,Rua 3  (Lot Cidade Leste),Sapiranga-Coité,"Fortaleza, CE","Sapiranga-Coité, Fortaleza, CE",60833-451
764,Rua 3  (Lot Água Marinha),Sabiaguaba,"Fortaleza, CE","Sabiaguaba, Fortaleza, CE",60835-280
765,Rua 3  (Cj Res Curió),Lagoa Redonda,"Fortaleza, CE","Lagoa Redonda, Fortaleza, CE",60831-483
766,Rua 3  (Cj Res Coração de Jesus),Aerolândia,"Fortaleza, CE","Aerolândia, Fortaleza, CE",60850-595
767,Rua 3  (Lot Cidade Sul),Parque Iracema,"Fortaleza, CE","Parque Iracema, Fortaleza, CE",60824-020
768,Rua 3  (Cj Res Eldorado),Itaperi,"Fortaleza, CE","Itaperi, Fortaleza, CE",60744-190
769,Rua 3  (Cj Res Doutor Abelardo Rocha),Mondubim,"Fortaleza, CE","Mondubim, Fortaleza, CE",60752-620
770,Rua 3  (Lot São Mateus I),Mondubim,"Fortaleza, CE","Mondubim, Fortaleza, CE",60768-040
771,Rua 3  (Lot Paraíso Messejana),São Bento,"Fortaleza, CE","São Bento, Fortaleza, CE",60875-848
772,Rua 3  (Lot Santiago de Compostela),Passaré,"Fortaleza, CE","Passaré, Fortaleza, CE",60743-695
773,Rua 3  (Lot Parque Verde),Jangurussu,"Fortaleza, CE","Jangurussu, Fortaleza, CE",60876-735
774,Rua 3  (Cj Apolo XI),Conjunto Esperança,"Fortaleza, CE","Conjunto Esperança, Fortaleza, CE",60763-675
775,Rua 3  (Lot Bairro Novo),Pedras,"Fortaleza, CE","Pedras, Fortaleza, CE",60878-045
776,Rua 3  (Lot Prq Santa Terezinha),Jangurussu,"Fortaleza, CE","Jangurussu, Fortaleza, CE",60870-846
777,Rua 3  (Lot 7 Irmãos),Mondubim,"Fortaleza, CE","Mondubim, Fortaleza, CE",60752-495
778,Rua 3  (Lot Alto Boa Vista),São Bento,"Fortaleza, CE","São Bento, Fortaleza, CE",60875-532
779,Rua 3  (Lot Planalto Canindezinho),Canindezinho,"Fortaleza, CE","Canindezinho, Fortaleza, CE",60731-453
780,Rua 3  (Cj Terra Nossa),Dias Macedo,"Fortaleza, CE","Dias Macedo, Fortaleza, CE",60860-546
