,LOGRADOURO,BAIRRO,CIDADE/ESTADO,BAIRRO.1,CEP
4208,Rua Conselheiro da Silva,Barroso,"Fortaleza, CE","Barroso, Fortaleza, CE",60862-610
4209,Rua Conselheiro Álvaro de Oliveira  - até 608/609,Parquelândia,"Fortaleza, CE","Parquelândia, Fortaleza, CE",60450-295
4210,Rua Conselheiro Álvaro de Oliveira  - de 610/611 ao fim,Amadeu Furtado,"Fortaleza, CE","Amadeu Furtado, Fortaleza, CE",60455-555
4211,Vila Constantina,Jardim Iracema,"Fortaleza, CE","Jardim Iracema, Fortaleza, CE",60340-097
4212,Vila Consuelo,Serrinha,"Fortaleza, CE","Serrinha, Fortaleza, CE",60741-490
4213,Vila Consuelo,Vila Peri,"Fortaleza, CE","Vila Peri, Fortaleza, CE",60730-350
4214,Rua Consul Gouveia,Álvaro Weyne,"Fortaleza, CE","Álvaro Weyne, Fortaleza, CE",60335-390
4215,Vila Consul,Granja Portugal,"Fortaleza, CE","Granja Portugal, Fortaleza, CE",60541-516
4216,Travessa Contaneide,Edson Queiroz,"Fortaleza, CE","Edson Queiroz, Fortaleza, CE",60812-260
4217,Travessa Continental,Ellery,"Fortaleza, CE","Ellery, Fortaleza, CE",60320-490
4218,Travessa Continental,Planalto Ayrton Senna,"Fortaleza, CE","Planalto Ayrton Senna, Fortaleza, CE",60760-634
4219,Vila Continental,Álvaro Weyne,"Fortaleza, CE","Álvaro Weyne, Fortaleza, CE",60336-560
4220,Avenida Contorno,Edson Queiroz,"Fortaleza, CE","Edson Queiroz, Fortaleza, CE",60812-030
4221,Avenida Contorno Leste,Novo Mondubim,"Fortaleza, CE","Novo Mondubim, Fortaleza, CE",60764-320
4222,Avenida Contorno Norte,Conjunto Esperança,"Fortaleza, CE","Conjunto Esperança, Fortaleza, CE",60763-730
4223,Avenida Contorno Oeste,Conjunto Esperança,"Fortaleza, CE","Conjunto Esperança, Fortaleza, CE",60763-650
4224,Avenida Contorno Oeste  (Cj Alto Alegre),São Bento,"Fortaleza, CE","São Bento, Fortaleza, CE",60875-190
4225,Avenida Contorno Oeste,Novo Mondubim,"Fortaleza, CE","Novo Mondubim, Fortaleza, CE",60764-330
4226,Rua Contorno Oeste do Reassentamento Tito Barros,Cajazeiras,"Fortaleza, CE","Cajazeiras, Fortaleza, CE",60864-352
4227,Avenida Contorno Sul,Conjunto Esperança,"Fortaleza, CE","Conjunto Esperança, Fortaleza, CE",60763-430
4228,Avenida Contorno Sul  (Cj Alto Alegre),São Bento,"Fortaleza, CE","São Bento, Fortaleza, CE",60875-205
4229,Avenida Contorno Sul,Novo Mondubim,"Fortaleza, CE","Novo Mondubim, Fortaleza, CE",60764-310
4230,Rua Contorno Sul do Reassentamento Tito Barros,Cajazeiras,"Fortaleza, CE","Cajazeiras, Fortaleza, CE",60864-338
4231,Rua Contorno da Ceasa,Ancuri,"Fortaleza, CE","Ancuri, Fortaleza, CE",60874-198
4232,Vila Copacabana,Vila União,"Fortaleza, CE","Vila União, Fortaleza, CE",60411-082
4233,Rua Copérnico  - até 284/285,Messejana,"Fortaleza, CE","Messejana, Fortaleza, CE",60871-475
4234,Rua Copérnico  - de 286/287 ao fim,Paupina,"Fortaleza, CE","Paupina, Fortaleza, CE",60872-596
4235,Rua Coqueiro,Conjunto Palmeiras,"Fortaleza, CE","Conjunto Palmeiras, Fortaleza, CE",60870-300
4236,Rua Coqueiro Verde,Barra do Ceará,"Fortaleza, CE","Barra do Ceará, Fortaleza, CE",60332-580
4237,Avenida Cora Coralina,Jangurussu,"Fortaleza, CE","Jangurussu, Fortaleza, CE",60877-250
4238,Rua Coraci,Messejana,"Fortaleza, CE","Messejana, Fortaleza, CE",60871-080
4239,Travessa Coração,Aerolândia,"Fortaleza, CE","Aerolândia, Fortaleza, CE",60850-540
4240,Praça Coração de Jesus,Centro,"Fortaleza, CE","Centro, Fortaleza, CE",60035-190
4241,Rua Coração de Jesus,Passaré,"Fortaleza, CE","Passaré, Fortaleza, CE",60862-222
4242,Travessa Coração de Jesus,Cristo Redentor,"Fortaleza, CE","Cristo Redentor, Fortaleza, CE",60312-270
4243,Travessa Coração de Jesus,Barroso,"Fortaleza, CE","Barroso, Fortaleza, CE",60862-733
4244,Vila Coração de Jesus,José Bonifácio,"Fortaleza, CE","José Bonifácio, Fortaleza, CE",60040-200
4245,Vila Coração de Jesus,Damas,"Fortaleza, CE","Damas, Fortaleza, CE",60426-082
4246,Rua Coração de Maria  - até 1049/1050,Conjunto Esperança,"Fortaleza, CE","Conjunto Esperança, Fortaleza, CE",60763-710
4247,Rua Coração de Maria  - de 1051/1052 ao fim,Canindezinho,"Fortaleza, CE","Canindezinho, Fortaleza, CE",60731-205
4248,Vila Corcovado,Monte Castelo,"Fortaleza, CE","Monte Castelo, Fortaleza, CE",60325-310
4249,Vila Cordeiro,Benfica,"Fortaleza, CE","Benfica, Fortaleza, CE",60015-020
4250,Vila Cordélia,Paupina,"Fortaleza, CE","Paupina, Fortaleza, CE",60872-531
4251,Rua Coreanos,Presidente Kennedy,"Fortaleza, CE","Presidente Kennedy, Fortaleza, CE",60355-502
4252,Rua Coreau,Parquelândia,"Fortaleza, CE","Parquelândia, Fortaleza, CE",60455-090
4253,Travessa Coreaçu,Bela Vista,"Fortaleza, CE","Bela Vista, Fortaleza, CE",60441-770
4254,Travessa Coreaçu,Bela Vista,"Fortaleza, CE","Bela Vista, Fortaleza, CE",60441-740
4255,Rua Corinto,Guajeru,"Fortaleza, CE","Guajeru, Fortaleza, CE",60843-170
4256,Rua Cornélio Fernandes,Damas,"Fortaleza, CE","Damas, Fortaleza, CE",60426-220
4257,Vila Coroado,Presidente Kennedy,"Fortaleza, CE","Presidente Kennedy, Fortaleza, CE",60355-450
4258,Travessa Coroados,João XXIII,"Fortaleza, CE","João XXIII, Fortaleza, CE",60525-690
4259,Rua Coronel Abelardo Rodrigues,Vila Velha,"Fortaleza, CE","Vila Velha, Fortaleza, CE",60347-365
4260,Rua Coronel Alexandrino,Montese,"Fortaleza, CE","Montese, Fortaleza, CE",60420-700
4261,Vila Coronel Alfredo Carneiro,Fátima,"Fortaleza, CE","Fátima, Fortaleza, CE",60415-060
4262,Rua Coronel Aluísio Borba,Engenheiro Luciano Cavalcante,"Fortaleza, CE","Engenheiro Luciano Cavalcante, Fortaleza, CE",60813-730
4263,Rua Coronel Alves Ribeiro,Messejana,"Fortaleza, CE","Messejana, Fortaleza, CE",60842-220
4264,Rua Coronel Alves Teixeira  - até 1198/1199,Joaquim Távora,"Fortaleza, CE","Joaquim Távora, Fortaleza, CE",60130-000
4265,Rua Coronel Alves Teixeira  - de 1200/1201 ao fim,Dionisio Torres,"Fortaleza, CE","Dionisio Torres, Fortaleza, CE",60135-208
4266,Rua Coronel Alípio Cunha,Parque Santa Maria,"Fortaleza, CE","Parque Santa Maria, Fortaleza, CE",60873-180
4267,Rua Coronel Amâncio Cavalcante,Parreão,"Fortaleza, CE","Parreão, Fortaleza, CE",60410-328
4268,Rua Coronel Antônio Cristino,São Gerardo,"Fortaleza, CE","São Gerardo, Fortaleza, CE",60320-840
4269,Rua Coronel Antônio Sampaio,Paupina,"Fortaleza, CE","Paupina, Fortaleza, CE",60873-550
4270,Travessa Coronel Antônio Sampaio,Paupina,"Fortaleza, CE","Paupina, Fortaleza, CE",60873-555
4271,Praça Coronel Artur Feijó Benevides,Vila União,"Fortaleza, CE","Vila União, Fortaleza, CE",60411-120
4272,Rua Coronel Bastos,Paupina,"Fortaleza, CE","Paupina, Fortaleza, CE",60874-364
4273,Rua Coronel Belo,Aerolândia,"Fortaleza, CE","Aerolândia, Fortaleza, CE",60850-130
4274,Avenida Coronel Carvalho  - até 1360 - lado par,Vila Velha,"Fortaleza, CE","Vila Velha, Fortaleza, CE",60347-112
4275,Avenida Coronel Carvalho  - até 1359 - lado ímpar,Barra do Ceará,"Fortaleza, CE","Barra do Ceará, Fortaleza, CE",60330-778
4276,Avenida Coronel Carvalho  - de 1362 a 2098 - lado par,Vila Velha,"Fortaleza, CE","Vila Velha, Fortaleza, CE",60347-114
4277,Avenida Coronel Carvalho  - de 1361 ao fim - lado ímpar,Jardim Iracema,"Fortaleza, CE","Jardim Iracema, Fortaleza, CE",60341-641
4278,Avenida Coronel Carvalho  - de 2100 a 2900 - lado par,Jardim Guanabara,"Fortaleza, CE","Jardim Guanabara, Fortaleza, CE",60346-164
4279,Avenida Coronel Carvalho  - de 2902 ao fim - lado par,Olavo Oliveira,"Fortaleza, CE","Olavo Oliveira, Fortaleza, CE",60351-364
4280,Praça Coronel Carvalho,Álvaro Weyne,"Fortaleza, CE","Álvaro Weyne, Fortaleza, CE",60335-771
4281,Praça Coronel Carvalho,Olavo Oliveira,"Fortaleza, CE","Olavo Oliveira, Fortaleza, CE",60350-840
4282,Rua Coronel Chico Alves,Passaré,"Fortaleza, CE","Passaré, Fortaleza, CE",60744-050
4283,Rua Coronel Clóvis Fontenele,Cristo Redentor,"Fortaleza, CE","Cristo Redentor, Fortaleza, CE",60337-580
4284,Rua Coronel Dionísio Alencar,Messejana,"Fortaleza, CE","Messejana, Fortaleza, CE",60840-390
4285,Travessa Coronel Dionísio Alencar,Pedras,"Fortaleza, CE","Pedras, Fortaleza, CE",60874-775
4286,Rua Coronel Djalma Azevedo,Lagoa Redonda,"Fortaleza, CE","Lagoa Redonda, Fortaleza, CE",60831-408
4287,Rua Coronel Domingos Gomes,Fátima,"Fortaleza, CE","Fátima, Fortaleza, CE",60411-230
4288,Rua Coronel Ernesto Matos,Messejana,"Fortaleza, CE","Messejana, Fortaleza, CE",60840-350
4289,Rua Coronel Fabriciano  - até 969/970,Granja Portugal,"Fortaleza, CE","Granja Portugal, Fortaleza, CE",60540-835
4290,Rua Coronel Fabriciano  - de 971/972 a 1789/1790,Granja Portugal,"Fortaleza, CE","Granja Portugal, Fortaleza, CE",60540-834
4291,Rua Coronel Fabriciano  - de 1791/1792 a 2189/2190,Granja Lisboa,"Fortaleza, CE","Granja Lisboa, Fortaleza, CE",60540-565
4292,Rua Coronel Fabriciano  - de 2191/2192 ao fim,Granja Lisboa,"Fortaleza, CE","Granja Lisboa, Fortaleza, CE",60540-562
4293,Rua Coronel Ferraz,Centro,"Fortaleza, CE","Centro, Fortaleza, CE",60060-150
4294,Rua Coronel Francisco Alves,Edson Queiroz,"Fortaleza, CE","Edson Queiroz, Fortaleza, CE",60834-105
4295,Rua Coronel Francisco Bento,Dom Lustosa,"Fortaleza, CE","Dom Lustosa, Fortaleza, CE",60526-328
4296,Rua Coronel Francisco Cruz,Manuel Dias Branco,"Fortaleza, CE","Manuel Dias Branco, Fortaleza, CE",60191-020
4297,Rua Coronel Francisco Flávio Carneiro,Engenheiro Luciano Cavalcante,"Fortaleza, CE","Engenheiro Luciano Cavalcante, Fortaleza, CE",60813-690
4298,Rua Coronel Francisco Montenegro,Praia do Futuro II,"Fortaleza, CE","Praia do Futuro II, Fortaleza, CE",60183-713
4299,Rua Coronel Francisco Pereira,Messejana,"Fortaleza, CE","Messejana, Fortaleza, CE",60840-290
4300,Rua Coronel Gonçalo,Aerolândia,"Fortaleza, CE","Aerolândia, Fortaleza, CE",60850-530
4301,Travessa Coronel Gonçalo,Aerolândia,"Fortaleza, CE","Aerolândia, Fortaleza, CE",60850-570
4302,Rua Coronel Guilherme Alencar  - até 648/649,Messejana,"Fortaleza, CE","Messejana, Fortaleza, CE",60840-340
4303,Rua Coronel Guilherme Alencar  - de 1086/1087 ao fim,Paupina,"Fortaleza, CE","Paupina, Fortaleza, CE",60872-565
4304,Rua Coronel Guilherme Alencar  - de 650/651 a 1084/1085,Messejana,"Fortaleza, CE","Messejana, Fortaleza, CE",60871-608
4305,Rua Coronel Helder Benevides,Guararapes,"Fortaleza, CE","Guararapes, Fortaleza, CE",60810-240
4306,Rua Coronel Honório Vieira  - até 419/420,Engenheiro Luciano Cavalcante,"Fortaleza, CE","Engenheiro Luciano Cavalcante, Fortaleza, CE",60813-695
4307,Rua Coronel Honório Vieira  - de 421/422 ao fim,Parque Manibura,"Fortaleza, CE","Parque Manibura, Fortaleza, CE",60821-836
4308,Rua Coronel Humberto Marques,Barra do Ceará,"Fortaleza, CE","Barra do Ceará, Fortaleza, CE",60334-015
4309,Rua Coronel Jaime Rolemberg,Jardim Cearense,"Fortaleza, CE","Jardim Cearense, Fortaleza, CE",60712-175
4310,Rua Coronel Joaquim Pontes,Lagoa Redonda,"Fortaleza, CE","Lagoa Redonda, Fortaleza, CE",60831-685
4311,Vila Coronel Joaquim de Carvalho,Itaoca,"Fortaleza, CE","Itaoca, Fortaleza, CE",60740-321
4312,Rua Coronel José Augusto de Oliveira,Engenheiro Luciano Cavalcante,"Fortaleza, CE","Engenheiro Luciano Cavalcante, Fortaleza, CE",60811-261
4313,Rua Coronel José Aurélio Câmara,Vicente Pinzon,"Fortaleza, CE","Vicente Pinzon, Fortaleza, CE",60181-485
4314,Rua Coronel José Aurélio Câmara,De Lourdes,"Fortaleza, CE","De Lourdes, Fortaleza, CE",60177-240
4315,Rua Coronel José Barbosa,Barroso,"Fortaleza, CE","Barroso, Fortaleza, CE",60863-270
4316,Rua Coronel José Bezerra,Sapiranga-Coité,"Fortaleza, CE","Sapiranga-Coité, Fortaleza, CE",60833-545
4317,Rua Coronel José Gadelha Lima,Parque Iracema,"Fortaleza, CE","Parque Iracema, Fortaleza, CE",60824-095
4318,Rua Coronel José Gomes de Moura,Parque Santa Maria,"Fortaleza, CE","Parque Santa Maria, Fortaleza, CE",60873-165
4319,Travessa Coronel José Moura,Parque Santa Maria,"Fortaleza, CE","Parque Santa Maria, Fortaleza, CE",60873-015
4320,Avenida Coronel José Philomeno Gomes,Engenheiro Luciano Cavalcante,"Fortaleza, CE","Engenheiro Luciano Cavalcante, Fortaleza, CE",60813-820
4321,Rua Coronel José Philomeno Gomes,Cocó,"Fortaleza, CE","Cocó, Fortaleza, CE",60190-075
4322,Rua Coronel João Albano,Parangaba,"Fortaleza, CE","Parangaba, Fortaleza, CE",60720-140
4323,Rua Coronel João Alencar,Praia do Futuro II,"Fortaleza, CE","Praia do Futuro II, Fortaleza, CE",60182-342
4324,Rua Coronel João Augusto Lima,Guararapes,"Fortaleza, CE","Guararapes, Fortaleza, CE",60810-321
4325,Praça Coronel João Bastos,Parangaba,"Fortaleza, CE","Parangaba, Fortaleza, CE",60721-330
4326,Rua Coronel João Bastos,Parangaba,"Fortaleza, CE","Parangaba, Fortaleza, CE",60720-045
4327,Rua Coronel João Carneiro,Fátima,"Fortaleza, CE","Fátima, Fortaleza, CE",60040-560
4328,Rua Coronel João Cidrão,Papicu,"Fortaleza, CE","Papicu, Fortaleza, CE",60175-025
4329,Rua Coronel João Correia  - até 958/959,Bom Jardim,"Fortaleza, CE","Bom Jardim, Fortaleza, CE",60543-325
4330,Rua Coronel João Correia  - de 960/961 a 1971/1972,Bom Jardim,"Fortaleza, CE","Bom Jardim, Fortaleza, CE",60543-322
4331,Rua Coronel João Correia  - de 1973/1974 a 2584/2585,Granja Lisboa,"Fortaleza, CE","Granja Lisboa, Fortaleza, CE",60540-285
4332,Rua Coronel João Correia  - de 2586/2587 a 3629/3630,Granja Lisboa,"Fortaleza, CE","Granja Lisboa, Fortaleza, CE",60540-282
4333,Rua Coronel João Correia  - de 3631/3632 ao fim,Granja Lisboa,"Fortaleza, CE","Granja Lisboa, Fortaleza, CE",60540-286
4334,Praça Coronel João Gentil,Benfica,"Fortaleza, CE","Benfica, Fortaleza, CE",60040-590
4335,Rua Coronel João Paulino,Engenheiro Luciano Cavalcante,"Fortaleza, CE","Engenheiro Luciano Cavalcante, Fortaleza, CE",60811-265
4336,Praça Coronel João Pontes,Monte Castelo,"Fortaleza, CE","Monte Castelo, Fortaleza, CE",60326-440
4337,Rua Coronel João de Oliveira,Messejana,"Fortaleza, CE","Messejana, Fortaleza, CE",60841-820
4338,Rua Coronel Jucá  - até 429/430,Meireles,"Fortaleza, CE","Meireles, Fortaleza, CE",60170-320
4339,Rua Coronel Jucá  - de 431/432 a 1689/1690,Aldeota,"Fortaleza, CE","Aldeota, Fortaleza, CE",60170-288
4340,Rua Coronel Jucá  - de 1691/1692 ao fim,Dionisio Torres,"Fortaleza, CE","Dionisio Torres, Fortaleza, CE",60170-195
4341,Rua Coronel Justa,Serrinha,"Fortaleza, CE","Serrinha, Fortaleza, CE",60742-050
4342,Rua Coronel Leocádio,Aldeota,"Fortaleza, CE","Aldeota, Fortaleza, CE",60135-030
4343,Rua Coronel Linhares  - até 759/760,Meireles,"Fortaleza, CE","Meireles, Fortaleza, CE",60170-240
4344,Rua Coronel Linhares  - de 1991/1992 ao fim,Dionisio Torres,"Fortaleza, CE","Dionisio Torres, Fortaleza, CE",60170-241
4345,Rua Coronel Linhares  - de 761/762 a 1989/1990,Aldeota,"Fortaleza, CE","Aldeota, Fortaleza, CE",60170-075
4346,Rua Coronel Luiz David de Souza,Presidente Kennedy,"Fortaleza, CE","Presidente Kennedy, Fortaleza, CE",60355-337
4347,Rua Coronel Luís Fidélis,São Bento,"Fortaleza, CE","São Bento, Fortaleza, CE",60875-670
4348,Rua Coronel Manuel Albano,Mondubim,"Fortaleza, CE","Mondubim, Fortaleza, CE",60711-465
4349,Travessa Coronel Manuel Jesuíno,Varjota,"Fortaleza, CE","Varjota, Fortaleza, CE",60176-180
4350,Vila Coronel Marcos,Vila Velha,"Fortaleza, CE","Vila Velha, Fortaleza, CE",60345-560
4351,Vila Coronel Martinho Neto,Bom Futuro,"Fortaleza, CE","Bom Futuro, Fortaleza, CE",60425-300
4352,Rua Coronel Matos Belo,Messejana,"Fortaleza, CE","Messejana, Fortaleza, CE",60841-240
4353,Avenida Coronel Matos Dourado  - até 663 - lado ímpar,Padre Andrade,"Fortaleza, CE","Padre Andrade, Fortaleza, CE",60360-561
4354,Avenida Coronel Matos Dourado  - de 666 ao fim - lado par,Dom Lustosa,"Fortaleza, CE","Dom Lustosa, Fortaleza, CE",60510-692
4355,Avenida Coronel Matos Dourado  - até 664 - lado par,Antônio Bezerra,"Fortaleza, CE","Antônio Bezerra, Fortaleza, CE",60360-590
4356,Avenida Coronel Matos Dourado  - de 665 ao fim - lado ímpar,Pici,"Fortaleza, CE","Pici, Fortaleza, CE",60511-745
4357,Avenida Coronel Matos Dourado  - lado ímpar,Henrique Jorge,"Fortaleza, CE","Henrique Jorge, Fortaleza, CE",60521-063
4358,Travessa Coronel Matos Dourado I,Pici,"Fortaleza, CE","Pici, Fortaleza, CE",60511-736
4359,Travessa Coronel Matos Dourado II,Pici,"Fortaleza, CE","Pici, Fortaleza, CE",60511-737
4360,Praça Coronel Melquíades,Cristo Redentor,"Fortaleza, CE","Cristo Redentor, Fortaleza, CE",60337-230
4361,Avenida Coronel Miguel Dias,Guararapes,"Fortaleza, CE","Guararapes, Fortaleza, CE",60810-160
4362,Rua Coronel Miguel Gustavo,São Bento,"Fortaleza, CE","São Bento, Fortaleza, CE",60875-145
4363,Rua Coronel Mozart Gondim,São Gerardo,"Fortaleza, CE","São Gerardo, Fortaleza, CE",60320-250
4364,Rua Coronel Nunes de Melo  - de 471/472 a 1999/2000,Rodolfo Teófilo,"Fortaleza, CE","Rodolfo Teófilo, Fortaleza, CE",60430-275
4365,Rua Coronel Nunes de Melo  - até 469/470,Rodolfo Teófilo,"Fortaleza, CE","Rodolfo Teófilo, Fortaleza, CE",60430-270
4366,Rua Coronel Nunes de Melo  - de 2001/2002 ao fim,Bela Vista,"Fortaleza, CE","Bela Vista, Fortaleza, CE",60441-720
4367,Vila Coronel Nunes de Melo,Rodolfo Teófilo,"Fortaleza, CE","Rodolfo Teófilo, Fortaleza, CE",60430-280
4368,Rua Coronel Olegário Memória,Sapiranga-Coité,"Fortaleza, CE","Sapiranga-Coité, Fortaleza, CE",60833-045
4369,Rua Coronel Otávio Silva,Engenheiro Luciano Cavalcante,"Fortaleza, CE","Engenheiro Luciano Cavalcante, Fortaleza, CE",60813-030
4370,Rua Coronel Patrício,Parque Santa Maria,"Fortaleza, CE","Parque Santa Maria, Fortaleza, CE",60873-075
4371,Rua Coronel Pergentino Ferreira,Fátima,"Fortaleza, CE","Fátima, Fortaleza, CE",60040-470
4372,Rua Coronel Raimundo Guanabara,São Gerardo,"Fortaleza, CE","São Gerardo, Fortaleza, CE",60320-210
4373,Rua Coronel Salviano Lopes,Papicu,"Fortaleza, CE","Papicu, Fortaleza, CE",60175-015
4374,Rua Coronel Solon  - lado par,José Bonifácio,"Fortaleza, CE","José Bonifácio, Fortaleza, CE",60040-270
4375,Rua Coronel Solon  - lado ímpar,Fátima,"Fortaleza, CE","Fátima, Fortaleza, CE",60040-293
4376,Rua Coronel Sérgio Bezerra Lima,Siqueira,"Fortaleza, CE","Siqueira, Fortaleza, CE",60544-325
4377,Rua Coronel Tarcísio Vieira,Bela Vista,"Fortaleza, CE","Bela Vista, Fortaleza, CE",60441-670
4378,Rua Coronel Tibúrcio,Mondubim,"Fortaleza, CE","Mondubim, Fortaleza, CE",60762-110
4379,Praça Coronel Virgílio Nogueira Paes,Montese,"Fortaleza, CE","Montese, Fortaleza, CE",60421-640
4380,Rua Coronel Virgílio Nogueira  - até 326 - lado par,Granja Portugal,"Fortaleza, CE","Granja Portugal, Fortaleza, CE",60545-262
4381,Rua Coronel Virgílio Nogueira  - de 328 a 1400 - lado par,Granja Lisboa,"Fortaleza, CE","Granja Lisboa, Fortaleza, CE",60540-446
4382,Rua Coronel Virgílio Nogueira  - até 325 - lado ímpar,Granja Portugal,"Fortaleza, CE","Granja Portugal, Fortaleza, CE",60545-261
4383,Rua Coronel Virgílio Nogueira  - de 327 a 1399 - lado ímpar,Bom Jardim,"Fortaleza, CE","Bom Jardim, Fortaleza, CE",60545-103
4384,Rua Coronel Virgílio Nogueira  - de 1401 ao fim - lado ímpar,Bom Jardim,"Fortaleza, CE","Bom Jardim, Fortaleza, CE",60545-105
4385,Rua Coronel Virgílio Nogueira  - de 1402 ao fim - lado par,Granja Lisboa,"Fortaleza, CE","Granja Lisboa, Fortaleza, CE",60540-452
4386,Rua Coronel Virgílio Távora,Barroso,"Fortaleza, CE","Barroso, Fortaleza, CE",60862-715
4387,Rua Coronel Zacarias José de Franca,Cajazeiras,"Fortaleza, CE","Cajazeiras, Fortaleza, CE",60864-460
4388,Rua Coronel de Queiroz,Planalto Ayrton Senna,"Fortaleza, CE","Planalto Ayrton Senna, Fortaleza, CE",60760-510
4389,Vila Correia Filho,Messejana,"Fortaleza, CE","Messejana, Fortaleza, CE",60841-495
4390,Rua Correia Lima,Demócrito Rocha,"Fortaleza, CE","Demócrito Rocha, Fortaleza, CE",60440-040
4391,Travessa Correia Lima,Demócrito Rocha,"Fortaleza, CE","Demócrito Rocha, Fortaleza, CE",60440-050
4392,Vila Correia Nobre,Montese,"Fortaleza, CE","Montese, Fortaleza, CE",60420-580
4393,Travessa Correia,Demócrito Rocha,"Fortaleza, CE","Demócrito Rocha, Fortaleza, CE",60440-142
4394,Vila Correinha,Meireles,"Fortaleza, CE","Meireles, Fortaleza, CE",60110-348
4395,Rua Corrientes,Cidade dos Funcionários,"Fortaleza, CE","Cidade dos Funcionários, Fortaleza, CE",60822-650
4396,Vila Cortezana,Dom Lustosa,"Fortaleza, CE","Dom Lustosa, Fortaleza, CE",60526-220
4397,Rua Corumbá,Boa Vista-Castelão,"Fortaleza, CE","Boa Vista-Castelão, Fortaleza, CE",60861-124
4398,Vila Corveta,Genibaú,"Fortaleza, CE","Genibaú, Fortaleza, CE",60534-151
4399,Rua Corvina,Edson Queiroz,"Fortaleza, CE","Edson Queiroz, Fortaleza, CE",60812-200
4400,Travessa Corvina,Edson Queiroz,"Fortaleza, CE","Edson Queiroz, Fortaleza, CE",60812-205
4401,Rua Cosma Bezerra,Aracapé,"Fortaleza, CE","Aracapé, Fortaleza, CE",60765-100
4402,Rua Cosme Almeida,Guajeru,"Fortaleza, CE","Guajeru, Fortaleza, CE",60843-140
4403,Rua Cosme Benevides de Freitas,Engenheiro Luciano Cavalcante,"Fortaleza, CE","Engenheiro Luciano Cavalcante, Fortaleza, CE",60811-309
4404,Rua Cosme Gerônimo,Aracapé,"Fortaleza, CE","Aracapé, Fortaleza, CE",60765-378
4405,Rua Cosme e Jerônimo,Aracapé,"Fortaleza, CE","Aracapé, Fortaleza, CE",60764-520
4406,Rua Cosmonauta,Bonsucesso,"Fortaleza, CE","Bonsucesso, Fortaleza, CE",60541-645
4407,Rua Cosmorama,Cajazeiras,"Fortaleza, CE","Cajazeiras, Fortaleza, CE",60864-210
4408,Rua Costa Barros  - até 998/999,Centro,"Fortaleza, CE","Centro, Fortaleza, CE",60160-280
4409,Rua Costa Barros  - de 1000/1001 ao fim,Aldeota,"Fortaleza, CE","Aldeota, Fortaleza, CE",60160-281
4410,Rua Costa Freire  - de 120/121 a 1759/1760,Vila Peri,"Fortaleza, CE","Vila Peri, Fortaleza, CE",60730-135
4411,Rua Costa Freire  - de 1761/1762 ao fim,Parque São José,"Fortaleza, CE","Parque São José, Fortaleza, CE",60730-255
4412,Rua Costa Freire  - até 118/119,Parangaba,"Fortaleza, CE","Parangaba, Fortaleza, CE",60721-045
4413,Rua Costa Manso,Barra do Ceará,"Fortaleza, CE","Barra do Ceará, Fortaleza, CE",60330-175
4414,Rua Costa Mendes,Mondubim,"Fortaleza, CE","Mondubim, Fortaleza, CE",60764-495
4415,Rua Costa Rica,Padre Andrade,"Fortaleza, CE","Padre Andrade, Fortaleza, CE",60360-480
4416,Travessa Costa Rica,Padre Andrade,"Fortaleza, CE","Padre Andrade, Fortaleza, CE",60360-490
4417,Rua Costa Sousa,Benfica,"Fortaleza, CE","Benfica, Fortaleza, CE",60020-300
4418,Travessa Costa,Granja Portugal,"Fortaleza, CE","Granja Portugal, Fortaleza, CE",60540-820
4419,Vila Costa,Bela Vista,"Fortaleza, CE","Bela Vista, Fortaleza, CE",60441-430
4420,Rua Costa do Sol,Siqueira,"Fortaleza, CE","Siqueira, Fortaleza, CE",60732-180
4421,Travessa Costa e Silva,Mondubim,"Fortaleza, CE","Mondubim, Fortaleza, CE",60762-265
4422,Vila Costeira,Mucuripe,"Fortaleza, CE","Mucuripe, Fortaleza, CE",60176-230
4423,Avenida Cotelce,Sabiaguaba,"Fortaleza, CE","Sabiaguaba, Fortaleza, CE",60835-012
4424,Travessa Coutinho,Álvaro Weyne,"Fortaleza, CE","Álvaro Weyne, Fortaleza, CE",60335-270
4425,Vila Coutinho,Papicu,"Fortaleza, CE","Papicu, Fortaleza, CE",60175-196
4426,Travessa Coxim,Antônio Bezerra,"Fortaleza, CE","Antônio Bezerra, Fortaleza, CE",60360-110
4427,Rua Crateús,Parquelândia,"Fortaleza, CE","Parquelândia, Fortaleza, CE",60455-166
4428,Travessa Crateús,Fátima,"Fortaleza, CE","Fátima, Fortaleza, CE",60040-670
4429,Travessa Crato,Centro,"Fortaleza, CE","Centro, Fortaleza, CE",60030-040
4430,Rua Cravilândia,Dom Lustosa,"Fortaleza, CE","Dom Lustosa, Fortaleza, CE",60510-690
4431,Travessa Cravilândia,Dom Lustosa,"Fortaleza, CE","Dom Lustosa, Fortaleza, CE",60510-710
4432,Rua Cravina,Álvaro Weyne,"Fortaleza, CE","Álvaro Weyne, Fortaleza, CE",60335-720
4433,Travessa Cravina,Álvaro Weyne,"Fortaleza, CE","Álvaro Weyne, Fortaleza, CE",60335-730
4434,Travessa Cravinhos,Tauape,"Fortaleza, CE","Tauape, Fortaleza, CE",60120-245
4435,Vila Cravinhos,Quintino Cunha,"Fortaleza, CE","Quintino Cunha, Fortaleza, CE",60351-671
4436,Vila Creche Cyssales,Jardim Guanabara,"Fortaleza, CE","Jardim Guanabara, Fortaleza, CE",60346-420
