V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;Concatenando;Concatenado
23;440;FORTALEZA;65;MESSEJANA;9;60;2;4;"OS GERAIS"" - ""RUA MELO CESAR"" ATE PONTO INICIAL";": DO PONTO INICIAL SEGUE PELA ""AVENIDA JOSE LEON"" ATE ""RUA FREI CANECA"" ATE ""AVENIDA DESEMBARGADOR GONZAGA"" - ""RUA MONSENHOR HIPOLITO"" OU ""RUA DA AMIZADE"" - ""RUNIDA DESEMBARGADOR GONZAGA"" - ""RUA MONSENHOR HIPOLITO"" OU ""RUA DA AMIZADE"" - ""RUA TEODOFREDO GOIANO"" - ""RUA TENENTE NICOLAU"" - ""RUA TEOFREDO GOIANA"" - ""RUA CAMPA TEODOFREDO GOIANO"" - ""RUA TENENTE NICOLAU"" - ""RUA TEOFREDO GOIANA"" - ""RUA CAMPOS GERAIS"" - ""RUA MELO CESAR"" ATE PONTO INICIAL";": DO PONTO INICIAL SEGUE PELA ""AVENIDA JOSE LEON"" ATE ""RUA FREI CANECA"" ATE ""AVENIDA DESEMBARGADOR GONZAGA"" - ""RUA MONSENHOR HIPOLITO"" OU ""RUA DA AMIZADE"" - ""RUNIDA DESEMBARGADOR GONZAGA"" - ""RUA MONSENHOR HIPOLITO"" OU ""RUA DA AMIZADE"" - ""RUA TEODOFREDO GOIANO"" - ""RUA TENENTE NICOLAU"" - ""RUA TEOFREDO GOIANA"" - ""RUA CAMPA TEODOFREDO GOIANO"" - ""RUA TENENTE NICOLAU"" - ""RUA TEOFREDO GOIANA"" - ""RUA CAMPOS GERAIS"" - ""RUA MELO CESAR"" ATE PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;61;2;1;": DO PONTO INICIAL SEGUE PELA ""AVENIDA JOSE LEON"" - ""RUA MELO CESAR"" - ""RUA CAMP";;
23;440;FORTALEZA;65;MESSEJANA;9;61;2;2;"OS GERMS"" - ""RUA TEODOFREDO GOIANA"" - ""RUA TENENTE NICOLAU"" - ""BR-116"" ATE O PON";": DO PONTO INICIAL SEGUE PELA ""AVENIDA JOSE LEON"" - ""RUA MELO CESAR"" - ""RUA CAMPOS GERMS"" - ""RUA TEODOFREDO GOIANA"" - ""RUA TENENTE NICOLAU"" - ""BR-116"" ATE O PON";
23;440;FORTALEZA;65;MESSEJANA;9;61;2;3;TO INICIAL;": DO PONTO INICIAL SEGUE PELA ""AVENIDA JOSE LEON"" - ""RUA MELO CESAR"" - ""RUA CAMPOS GERMS"" - ""RUA TEODOFREDO GOIANA"" - ""RUA TENENTE NICOLAU"" - ""BR-116"" ATE O PONOS GERMS"" - ""RUA TEODOFREDO GOIANA"" - ""RUA TENENTE NICOLAU"" - ""BR-116"" ATE O PONTO INICIAL";": DO PONTO INICIAL SEGUE PELA ""AVENIDA JOSE LEON"" - ""RUA MELO CESAR"" - ""RUA CAMPOS GERMS"" - ""RUA TEODOFREDO GOIANA"" - ""RUA TENENTE NICOLAU"" - ""BR-116"" ATE O PONOS GERMS"" - ""RUA TEODOFREDO GOIANA"" - ""RUA TENENTE NICOLAU"" - ""BR-116"" ATE O PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;62;2;1;": DO PONTO INICIAL SEGUE PELA ""RUA PADRE FRANCISCO PITA"" - ""RUA DESEMBARGADOR FA";;
23;440;FORTALEZA;65;MESSEJANA;9;62;2;2;"USTINO ALBUQUERQUE"" - ""AVENIDA JOSE LEON"" - ""RUA FREI CANECA"" - ""AVENIDA JOSE LE";": DO PONTO INICIAL SEGUE PELA ""RUA PADRE FRANCISCO PITA"" - ""RUA DESEMBARGADOR FAUSTINO ALBUQUERQUE"" - ""AVENIDA JOSE LEON"" - ""RUA FREI CANECA"" - ""AVENIDA JOSE LE";
23;440;FORTALEZA;65;MESSEJANA;9;62;2;3;"ON"" - ""RODOVIA BR-116"" - ""AV PLACIDO CASTELO"" - ""RUA RADIAL LESTE"" OU ""AVENIDA U";": DO PONTO INICIAL SEGUE PELA ""RUA PADRE FRANCISCO PITA"" - ""RUA DESEMBARGADOR FAUSTINO ALBUQUERQUE"" - ""AVENIDA JOSE LEON"" - ""RUA FREI CANECA"" - ""AVENIDA JOSE LEUSTINO ALBUQUERQUE"" - ""AVENIDA JOSE LEON"" - ""RUA FREI CANECA"" - ""AVENIDA JOSE LEON"" - ""RODOVIA BR-116"" - ""AV PLACIDO CASTELO"" - ""RUA RADIAL LESTE"" OU ""AVENIDA U";
23;440;FORTALEZA;65;MESSEJANA;9;62;2;4;"M"" ATE PONTO INICIAL";": DO PONTO INICIAL SEGUE PELA ""RUA PADRE FRANCISCO PITA"" - ""RUA DESEMBARGADOR FAUSTINO ALBUQUERQUE"" - ""AVENIDA JOSE LEON"" - ""RUA FREI CANECA"" - ""AVENIDA JOSE LEUSTINO ALBUQUERQUE"" - ""AVENIDA JOSE LEON"" - ""RUA FREI CANECA"" - ""AVENIDA JOSE LEON"" - ""RODOVIA BR-116"" - ""AV PLACIDO CASTELO"" - ""RUA RADIAL LESTE"" OU ""AVENIDA UON"" - ""RODOVIA BR-116"" - ""AV PLACIDO CASTELO"" - ""RUA RADIAL LESTE"" OU ""AVENIDA UM"" ATE PONTO INICIAL";": DO PONTO INICIAL SEGUE PELA ""RUA PADRE FRANCISCO PITA"" - ""RUA DESEMBARGADOR FAUSTINO ALBUQUERQUE"" - ""AVENIDA JOSE LEON"" - ""RUA FREI CANECA"" - ""AVENIDA JOSE LEUSTINO ALBUQUERQUE"" - ""AVENIDA JOSE LEON"" - ""RUA FREI CANECA"" - ""AVENIDA JOSE LEON"" - ""RODOVIA BR-116"" - ""AV PLACIDO CASTELO"" - ""RUA RADIAL LESTE"" OU ""AVENIDA UON"" - ""RODOVIA BR-116"" - ""AV PLACIDO CASTELO"" - ""RUA RADIAL LESTE"" OU ""AVENIDA UM"" ATE PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;63;2;1;": DO PONTO INICIAL SEGUE PELA ""RUA TANGARA"" PASSANDO PELAS +SALINAS SAO GERALDO+";;
23;440;FORTALEZA;65;MESSEJANA;9;63;2;2;" INCLUSIVE ""RUA FRANCISCO CHAGAS MENDES"" - ""ANTONIO ROCHA BARROS"" - ""RUA AMADOR";": DO PONTO INICIAL SEGUE PELA ""RUA TANGARA"" PASSANDO PELAS +SALINAS SAO GERALDO+ INCLUSIVE ""RUA FRANCISCO CHAGAS MENDES"" - ""ANTONIO ROCHA BARROS"" - ""RUA AMADOR";
