V1;V2;V3;V4;V5;V6;V7;V8;V9;V11
23;440;FORTALEZA;65;MESSEJANA;9;60;2;4;": DO PONTO INICIAL SEGUE PELA ""AVENIDA JOSE LEON"" ATE ""RUA FREI CANECA"" ATE ""AVENIDA DESEMBARGADOR GONZAGA"" - ""RUA MONSENHOR HIPOLITO"" OU ""RUA DA AMIZADE"" - ""RUNIDA DESEMBARGADOR GONZAGA"" - ""RUA MONSENHOR HIPOLITO"" OU ""RUA DA AMIZADE"" - ""RUA TEODOFREDO GOIANO"" - ""RUA TENENTE NICOLAU"" - ""RUA TEOFREDO GOIANA"" - ""RUA CAMPA TEODOFREDO GOIANO"" - ""RUA TENENTE NICOLAU"" - ""RUA TEOFREDO GOIANA"" - ""RUA CAMPOS GERAIS"" - ""RUA MELO CESAR"" ATE PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;61;2;3;": DO PONTO INICIAL SEGUE PELA ""AVENIDA JOSE LEON"" - ""RUA MELO CESAR"" - ""RUA CAMPOS GERMS"" - ""RUA TEODOFREDO GOIANA"" - ""RUA TENENTE NICOLAU"" - ""BR-116"" ATE O PONOS GERMS"" - ""RUA TEODOFREDO GOIANA"" - ""RUA TENENTE NICOLAU"" - ""BR-116"" ATE O PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;62;2;4;": DO PONTO INICIAL SEGUE PELA ""RUA PADRE FRANCISCO PITA"" - ""RUA DESEMBARGADOR FAUSTINO ALBUQUERQUE"" - ""AVENIDA JOSE LEON"" - ""RUA FREI CANECA"" - ""AVENIDA JOSE LEUSTINO ALBUQUERQUE"" - ""AVENIDA JOSE LEON"" - ""RUA FREI CANECA"" - ""AVENIDA JOSE LEON"" - ""RODOVIA BR-116"" - ""AV PLACIDO CASTELO"" - ""RUA RADIAL LESTE"" OU ""AVENIDA UON"" - ""RODOVIA BR-116"" - ""AV PLACIDO CASTELO"" - ""RUA RADIAL LESTE"" OU ""AVENIDA UM"" ATE PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;63;2;5;": DO PONTO INICIAL SEGUE PELA ""RUA TANGARA"" PASSANDO PELAS +SALINAS SAO GERALDO+ INCLUSIVE ""RUA FRANCISCO CHAGAS MENDES"" - ""ANTONIO ROCHA BARROS"" - ""RUA AMADOR INCLUSIVE ""RUA FRANCISCO CHAGAS MENDES"" - ""ANTONIO ROCHA BARROS"" - ""RUA AMADORBUENO"" - ""RUA ARNALDO OSORIO"" - ""RUA PADRE FRANCISCO PITA"" - ""RUA RADIAL LESTE""BUENO"" - ""RUA ARNALDO OSORIO"" - ""RUA PADRE FRANCISCO PITA"" - ""RUA RADIAL LESTE""OU ""AVENIDA UM"" - ""AVENIDA PLACIDO CASTELO"" - ""RODOVIA BR-116"" - ""RIO COCO"" ATEOU ""AVENIDA UM"" - ""AVENIDA PLACIDO CASTELO"" - ""RODOVIA BR-116"" - ""RIO COCO"" ATEPONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;64;2;3;": DO PONTO INICIAL SEGUE PELA ""RUA ANTONIO ROCHA BARROS"" ATE ""RUA STENIO GOMES""- ""RUA PADRE FRANCISCO PITA"" - ""RUA ARNALDO OSORIO"" - ""RUA AMADOR BUENO"" ATE PON- ""RUA PADRE FRANCISCO PITA"" - ""RUA ARNALDO OSORIO"" - ""RUA AMADOR BUENO"" ATE PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;65;2;3;": DO PONTO INICIAL SEGUE PELA ""RUA ANTONIO ROCHA BARROS"" ATE ""RUA ATAULFO ALVES"" - ""AVENIDA JOSE LEON"" - ""RUA DESEMBARGADOR FAUSTINO ALBUQUERQUE"" - ""RUA PADRE F - ""AVENIDA JOSE LEON"" - ""RUA DESEMBARGADOR FAUSTINO ALBUQUERQUE"" - ""RUA PADRE FRANCISCO PITA"" - ""RUA STENIO GOMES"" ATE PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;66;2;3;": DO PONTO INICIAL SEGUE PELA ""RUA ANTONIO ROCHA BARROS"" ATE ""RUA CARLOS JEREISSSATI"" -""RUA CLEITOM HELAIDE PIMENTA"" - ""RUA MONSENHOR VITAL GURGEL"" - ""AVENIDA JSATI"" -""RUA CLEITOM HELAIDE PIMENTA"" - ""RUA MONSENHOR VITAL GURGEL"" - ""AVENIDA JOSE LEON"" - ""RUA ATAULFO ALVES"" ATE PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;67;2;5;": DO PONTO INICIAL SEGUE PELA ""RUA ANTONIO ROCHA BARROS"" ATE ""RUA PADRE FRANCISCO PITA"" - ""RUA VICENTE LOPES"" - ""RUA VEREADOR PEDRO LUCIANO PEREIRA"" - ""RUA SEMO PITA"" - ""RUA VICENTE LOPES"" - ""RUA VEREADOR PEDRO LUCIANO PEREIRA"" - ""RUA SEMDENOMINACAO"" - ""RUA VICENTE LOPES"" - ""AVENIDA JOSE LEON"" - ""RUA MONSENHOR VITALDENOMINACAO"" - ""RUA VICENTE LOPES"" - ""AVENIDA JOSE LEON"" - ""RUA MONSENHOR VITALGURGEL"" - ""RUA CLEITON HELAIDE PIMENTA"" - ""RUA CARLOS JEREISSATI"" ATE PONTO INICGURGEL"" - ""RUA CLEITON HELAIDE PIMENTA"" - ""RUA CARLOS JEREISSATI"" ATE PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;68;2;2;": DO PONTO INICIAL SEGUE ATE A ""RUA EFESIOS"" DAI ATE A ""RUA FILADELFIA"" DAI ATEA ""RUA NATANAEL CORTES"" ATE O PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;69;2;3;": DO PONTO INICIAL SEGUE ATE A ""AVENIDA WASHINGTON SOARES"" DAI ATE A ""RUA LUIZAMIRANDA COELHO"" DAI ATE A ""RUA EFESIOS"" DAI ATE A ""RUA GERALDO MAGALHAES"" DAI ATMIRANDA COELHO"" DAI ATE A ""RUA EFESIOS"" DAI ATE A ""RUA GERALDO MAGALHAES"" DAI ATE A ""RUA CORONEL MIGUEL DIAS"" ATE O PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;70;2;4;": DO PONTO INICIAL SEGUE ATE A ""RUA EFESIOS"" DAI ATE A ""RUA LUIZA MIRANDA COELHO DAI ATE A AVENIDA WASHINGTON SOARES"" DAI ATE A ""RUA VERIADOR PEDRO PAULO"" OU DAI ATE A AVENIDA WASHINGTON SOARES"" DAI ATE A ""RUA VERIADOR PEDRO PAULO"" OULUCIANO PEREIRA DAI ATE A ""RUA VICENTE LOPES"" DAI ATE A ""RUA FRANCISCO PITA"" DLUCIANO PEREIRA DAI ATE A ""RUA VICENTE LOPES"" DAI ATE A ""RUA FRANCISCO PITA"" DAI ATE A ""RUA ANTONIO ROCHA BARROS"" DAI ATE A ""RUA PIDORAMA"" ATE O PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;71;2;6;": DO PONTO INICIAL SEGUE ATE A ""RUA IVO REBOUCAS"" DAI ATE A ""RUA DORALICE COSTA"" DAI ATE A ""RUA T"" DAI ATE A ""AVENIDA WE 1"" DAI ATE A ""RUA PINDORAMA"" DAI ATE A DAI ATE A ""RUA T"" DAI ATE A ""AVENIDA WE 1"" DAI ATE A ""RUA PINDORAMA"" DAI ATE ARUA ANTONIO ROCHA BARROS DAI ATE A ""RUA FRANCISCO CHAGAS MENDES"" DAI ATE A ""RURUA ANTONIO ROCHA BARROS DAI ATE A ""RUA FRANCISCO CHAGAS MENDES"" DAI ATE A ""RUA JULIA SALES"" DAI ATE A ""ESTRADA SANTA LUZIA"" DAI ATE A ""RUA ESMERRINDA MENDES""A JULIA SALES"" DAI ATE A ""ESTRADA SANTA LUZIA"" DAI ATE A ""RUA ESMERRINDA MENDES"" DAI ATE A ""RUA PINORAMA"" DAI ATE A ""AVENIDA ROGACIANO LEITE"" ATE O PONTO INICIA DAI ATE A ""RUA PINORAMA"" DAI ATE A ""AVENIDA ROGACIANO LEITE"" ATE O PONTO INICIAL"
