V1;V2;V3;V4;V5;V6;V7;V8;V9;V10
23;440;FORTALEZA;65;MESSEJANA;9;85;2;2;"- ""RUA OTAVIO ROCHA"" ATE PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;86;2;1;": DO PONTO INICIAL SEGUE PELA ""RUA DO GELO"" - ""RUA DO COMERCIO"" - ""VIA DO CONTOR"
23;440;FORTALEZA;65;MESSEJANA;9;86;2;2;"NO"" - ""RUA CORVINA"" - ""RUA DO JUA"" - ""MURO DA UNIFOR"" - ""ESTRADA PARA O DENDE"" A"
23;440;FORTALEZA;65;MESSEJANA;9;86;2;3;TE O PONTO INICIAL
23;440;FORTALEZA;65;MESSEJANA;9;87;2;1;": DO PONTO INICIAL SEGUE PELA ""AVENIDA DEPUTADO JOSE MARTINS RODRIGUES"" ATE ""RIO"
23;440;FORTALEZA;65;MESSEJANA;9;87;2;2;" COCO"" VAI POR ESTE ATE UMA ""ESTRADA"" QUE LIGA ""RIO COCO"" COM ""RUA DO GELO"" DAI"
23;440;FORTALEZA;65;MESSEJANA;9;87;2;3;"VAI PELA ""ESTRADA PARA O DENDE"" CRUZANDO O ""CAMPUS DA UNIFOR"" INDO ATE ""AVENIDA"
23;440;FORTALEZA;65;MESSEJANA;9;87;2;4;"WASHINGTON SOARES"" ENTRE UNIFOR E CENTRO CONVENCOES ATE PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;87;2;5;NaN
23;440;FORTALEZA;65;MESSEJANA;9;88;2;1;": DO PONTO INICIAL SEGUE PELO ""RIO COCO"" ATE CONFRONTACAO COM ""AVENIDA DEPUTADO"
23;440;FORTALEZA;65;MESSEJANA;9;88;2;2;"MARTINS RODRIGUES"" INDO POR ESTA ATE ""AVENIDA WASHINGTON SOARES"" ATE ""AVENIDA EN"
23;440;FORTALEZA;65;MESSEJANA;9;88;2;3;"GENHEIRO SANTANA JUNIOR"" ATE PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;89;2;1;": DO PONTO INICIAL SEGUE PELO ""RIO COCO"" ATE ESTRADA QUE LIGA ""RIO COCO"" A ""RUA"
23;440;FORTALEZA;65;MESSEJANA;9;89;2;2;"DOUTOR MONTEIRO"" - ""RUA ROSA CORDEIRO"" - ""RUA E"" - ATE ""RUA DO GELO"" - ""ESTRADA"
23;440;FORTALEZA;65;MESSEJANA;9;89;2;3;"QUE LIGA RUA DO GELO AO RIO COCO"" POR ESTA ATE PONTO INICIAL"
23;440;FORTALEZA;65;MESSEJANA;9;90;2;1;": DO PONTO INICIAL SEGUE PELO ""RIO COCO"" ATE O ""RIACHO MIRIU"" POR ESTE ATE ""RIAC"
23;440;FORTALEZA;65;MESSEJANA;9;90;2;2;"HO AGUA FRIA"" POR ESTE ATE ""AVENIDA C"" POR ESTA ATE ""AVENIDA ROSA CORDEIRO"" ATE"
23;440;FORTALEZA;65;MESSEJANA;9;90;2;3;RUA DOUTOR MONTEIRO ATE PONTO INICIAL
