Endereços;CEP
Rua J (Cj João Paulo II);60863440
Rua J (Cj Primeiro de Março);60863150
Rua João Ferreira;60862650
Rua João Melo;60862725
Rua João Paulo II;60863600
Rua João Valentim;60863510
Rua Jordânia Lopes;60862632
Rua José Holanda de Freitas;60862660
Rua K (Cj João Paulo II);60863500
Rua L (Cj João Paulo II);60863540
Rua L (Cj Primeiro de Março);60863160
Rua Leonardo Alves de Melo;60862634
Rua Louralber Monteiro;60862830
Rua M (Cj João Paulo II);60863620
Rua M (Cj Primeiro de Março);60863170
Rua Manuel Arruda;60863305
Rua Manuel Figueiredo;60863020
Rua Manuel Martins;60863715
Rua Margarida Rocha;60863615
Rua Maria Cleide Gaspar Ribeiro;60863382
