Endereços;CEP
Travessa do Sossego;60332071
Travessa do Sucesso;60334080
Travessa Domingos da Veiga;60332001
Travessa dos Bandeirantes;60333470
Travessa Eduardo de Oliveira;60332670
Travessa Elizete Cardoso;60331505
Travessa Elson;60333320
Travessa Esperança;60330815
Travessa Frei Damião;60333055
Travessa Frota Cavalcante;60334047
Travessa Goiabeiras;60333250
Travessa Grito de Alerta;60332073
Travessa Gurguéia;60331520
Travessa Holandeses;60332542
Travessa I (Planalto das Goiabeiras);60332452
Travessa II (Planalto das Goiabeiras);60332454
Travessa Jaci;60330475
Travessa Jackson do Pandeiro;60332515
Travessa Jandira;60330465
Travessa Jerônimo Albuquerque;60331751
Travessa Jerusalém;60333725
Travessa Joaquim Moreira;60332007
Travessa José Vilar;60331525
Travessa Júlio Gomes;60331800
Travessa Lara;60330525
Travessa Lara II;60330526
Travessa Lauro;60333280
Travessa Leonor;60330770
Travessa Manuel Gadelha;60332771
Travessa Mar Azul;60332755
Travessa Maravilha;60332775
Travessa Moacir;60332655
Travessa Morro Branco;60332625
Travessa Mota Cambraia;60334050
Travessa Novo Lar;60332415
Travessa Olical;60331360
Travessa Omar Cardoso;60330125
Travessa Padre Haroldo Coelho;60332045
Travessa Paranã;60332767
Travessa Pastor;60331310
Travessa Pestana;60331600
Travessa Pompéia;60332680
Travessa Potira;60330528
Travessa Praia do Sol;60332544
Travessa Profeta Isaías;60333760
Travessa Rodrigues;60331143
Travessa Santa Clara;60331465
Travessa Santiago da Barra do Ceará;60331441
Travessa Santo Antônio das Goiabeiras;60333165
Travessa São Jorge;60334155
Travessa São José;60330512
Travessa São José da Barra;60330127
Travessa São Matias;60333220
Travessa Sempre Viva;60330511
Travessa Senador Robert Kennedy;60332171
Travessa Soberana;60337060
Travessa Tambaú;60334127
Travessa Trinta e Um de Dezembro;60332123
Travessa Tropical;60332763
Travessa Vesuvio;60333230
Travessa Vinte de Janeiro;60331205
Travessa Vitória Régia;60332640
Travessa Vitória Régia I;60332641
Vila Abílio Chaves;60331680
Vila Aline;60331760
Vila Alves;60331126
Vila Ana;60347310
Vila Ana Cecília;60334132
Vila Antônio Rocha;60331000
Vila Antônio Rogério;60330790
Vila Antônio Rola;60330570
Vila Araci;60330500
Vila Arão;60330240
Vila Areado;60331150
Vila Bálsamo;60330162
Vila Berna;60330535
Vila Brazão;60332010
Vila Castelinho;60332750
Vila Catu;60331220
Vila Célia;60332200
Vila Claudenir;60331720
Vila da Paz;60331202
Vila Diderot;60331245
Vila do Praça;60332190
Vila Edval;60336810
Vila Edvaldo;60332210
Vila Evaldo;60331115
Vila Fogaça;60330172
Vila Garrido;60330420
Vila Honorato;60330471
Vila Iguatemi;60331710
Vila Itaiba;60312090
Vila Itapema;60332230
Vila Ivani;60331125
Vila Ivone;60331210
Vila José Farias;60331820
Vila Kaula;60330800
Vila Lopes Silva;60331040
Vila Manuel Filho;60331840
Vila Márcia;60333100
Vila Maria Cruz;60331060
Vila Maria Erly;60330250
Vila Maria Ieda;60332250
Vila Martins;60330560
Vila Meire;60332260
Vila Munique;60331550
Vila Muniz;60330540
Vila Nossa Senhora do Loreto;60331830
Vila Osmani;60331570
Vila Paracavi;60336520
Vila Poema;60331070
Vila Príncipe;60331121
Vila Profeta Isaías;60333755
